"Id","ActivityDate","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","DayOfWeek"
1503960366,2016-04-12,1,327,346,"Tuesday"
1503960366,2016-04-13,2,384,407,"Wednesday"
1503960366,2016-04-15,1,412,442,"Friday"
1503960366,2016-04-16,2,340,367,"Saturday"
1503960366,2016-04-17,1,700,712,"Sunday"
1503960366,2016-04-19,1,304,320,"Tuesday"
1503960366,2016-04-20,1,360,377,"Wednesday"
1503960366,2016-04-21,1,325,364,"Thursday"
1503960366,2016-04-23,1,361,384,"Saturday"
1503960366,2016-04-24,1,430,449,"Sunday"
1503960366,2016-04-25,1,277,323,"Monday"
1503960366,2016-04-26,1,245,274,"Tuesday"
1503960366,2016-04-28,1,366,393,"Thursday"
1503960366,2016-04-29,1,341,354,"Friday"
1503960366,2016-04-30,1,404,425,"Saturday"
1503960366,2016-05-01,1,369,396,"Sunday"
1503960366,2016-05-02,1,277,309,"Monday"
1503960366,2016-05-03,1,273,296,"Tuesday"
1503960366,2016-05-05,1,247,264,"Thursday"
1503960366,2016-05-06,1,334,367,"Friday"
1503960366,2016-05-07,1,331,349,"Saturday"
1503960366,2016-05-08,1,594,611,"Sunday"
1503960366,2016-05-09,1,338,342,"Monday"
1503960366,2016-05-10,1,383,403,"Tuesday"
1503960366,2016-05-11,1,285,306,"Wednesday"
1644430081,2016-04-29,1,119,127,"Friday"
1644430081,2016-04-30,1,124,142,"Saturday"
1644430081,2016-05-02,1,796,961,"Monday"
1644430081,2016-05-08,1,137,154,"Sunday"
1844505072,2016-04-15,1,644,961,"Friday"
1844505072,2016-04-30,1,722,961,"Saturday"
1844505072,2016-05-01,1,590,961,"Sunday"
1927972279,2016-04-12,3,750,775,"Tuesday"
1927972279,2016-04-13,1,398,422,"Wednesday"
1927972279,2016-04-15,2,475,499,"Friday"
1927972279,2016-04-26,1,296,315,"Tuesday"
1927972279,2016-04-28,1,166,178,"Thursday"
2026352035,2016-04-12,1,503,546,"Tuesday"
2026352035,2016-04-13,1,531,565,"Wednesday"
2026352035,2016-04-14,1,545,568,"Thursday"
2026352035,2016-04-15,1,523,573,"Friday"
2026352035,2016-04-16,1,524,567,"Saturday"
2026352035,2016-04-17,1,437,498,"Sunday"
2026352035,2016-04-19,1,498,540,"Tuesday"
2026352035,2016-04-20,1,461,510,"Wednesday"
2026352035,2016-04-21,1,477,514,"Thursday"
2026352035,2016-04-22,1,520,545,"Friday"
2026352035,2016-04-23,1,522,554,"Saturday"
2026352035,2016-04-24,1,555,591,"Sunday"
2026352035,2016-04-25,1,506,531,"Monday"
2026352035,2016-04-27,1,508,545,"Wednesday"
2026352035,2016-04-28,1,513,545,"Thursday"
2026352035,2016-04-29,1,490,510,"Friday"
2026352035,2016-04-30,1,573,607,"Saturday"
2026352035,2016-05-01,1,527,546,"Sunday"
2026352035,2016-05-02,1,511,543,"Monday"
2026352035,2016-05-04,1,538,560,"Wednesday"
2026352035,2016-05-05,1,468,485,"Thursday"
2026352035,2016-05-06,1,524,548,"Friday"
2026352035,2016-05-07,1,511,521,"Saturday"
2026352035,2016-05-08,1,541,568,"Sunday"
2026352035,2016-05-09,1,531,556,"Monday"
2026352035,2016-05-10,1,357,380,"Tuesday"
2026352035,2016-05-11,1,523,553,"Wednesday"
2026352035,2016-05-12,1,456,485,"Thursday"
2320127002,2016-04-23,1,61,69,"Saturday"
2347167796,2016-04-13,1,467,531,"Wednesday"
2347167796,2016-04-14,1,445,489,"Thursday"
2347167796,2016-04-15,1,452,504,"Friday"
2347167796,2016-04-17,1,556,602,"Sunday"
2347167796,2016-04-18,1,500,557,"Monday"
2347167796,2016-04-19,1,465,514,"Tuesday"
2347167796,2016-04-21,1,460,484,"Thursday"
2347167796,2016-04-22,1,405,461,"Friday"
2347167796,2016-04-23,1,374,386,"Saturday"
2347167796,2016-04-24,1,442,459,"Sunday"
2347167796,2016-04-25,1,433,471,"Monday"
2347167796,2016-04-26,1,436,490,"Tuesday"
2347167796,2016-04-27,1,448,499,"Wednesday"
2347167796,2016-04-28,1,408,450,"Thursday"
2347167796,2016-04-29,1,411,473,"Friday"
3977333714,2016-04-12,1,274,469,"Tuesday"
3977333714,2016-04-13,2,295,456,"Wednesday"
3977333714,2016-04-14,1,291,397,"Thursday"
