"Id","ActivityDate","Calories","DayOfWeek"
1503960366,2016-04-12,1985,"Tuesday"
1503960366,2016-04-13,1797,"Wednesday"
1503960366,2016-04-14,1776,"Thursday"
1503960366,2016-04-15,1745,"Friday"
1503960366,2016-04-16,1863,"Saturday"
1503960366,2016-04-17,1728,"Sunday"
1503960366,2016-04-18,1921,"Monday"
1503960366,2016-04-19,2035,"Tuesday"
1503960366,2016-04-20,1786,"Wednesday"
1503960366,2016-04-21,1775,"Thursday"
1503960366,2016-04-22,1827,"Friday"
1503960366,2016-04-23,1949,"Saturday"
1503960366,2016-04-24,1788,"Sunday"
1503960366,2016-04-25,2013,"Monday"
1503960366,2016-04-26,1970,"Tuesday"
1503960366,2016-04-27,2159,"Wednesday"
1503960366,2016-04-28,1898,"Thursday"
1503960366,2016-04-29,1837,"Friday"
1503960366,2016-04-30,1947,"Saturday"
1503960366,2016-05-01,1820,"Sunday"
1503960366,2016-05-02,2004,"Monday"
1503960366,2016-05-03,1990,"Tuesday"
1503960366,2016-05-04,1819,"Wednesday"
1503960366,2016-05-05,1959,"Thursday"
1503960366,2016-05-06,1896,"Friday"
1503960366,2016-05-07,1821,"Saturday"
1503960366,2016-05-08,1740,"Sunday"
1503960366,2016-05-09,1819,"Monday"
1503960366,2016-05-10,1859,"Tuesday"
1503960366,2016-05-11,1783,"Wednesday"
1624580081,2016-04-12,1432,"Tuesday"
1624580081,2016-04-13,1411,"Wednesday"
1624580081,2016-04-14,1572,"Thursday"
1624580081,2016-04-15,1344,"Friday"
1624580081,2016-04-16,1463,"Saturday"
1624580081,2016-04-17,1554,"Sunday"
1624580081,2016-04-18,1604,"Monday"
1624580081,2016-04-19,1435,"Tuesday"
1624580081,2016-04-20,1446,"Wednesday"
1624580081,2016-04-21,1467,"Thursday"
1624580081,2016-04-22,1470,"Friday"
1624580081,2016-04-23,1562,"Saturday"
1624580081,2016-04-24,1617,"Sunday"
1624580081,2016-04-25,1492,"Monday"
1624580081,2016-04-26,1402,"Tuesday"
1624580081,2016-04-27,1670,"Wednesday"
1624580081,2016-04-28,1401,"Thursday"
1624580081,2016-04-29,1404,"Friday"
1624580081,2016-04-30,1655,"Saturday"
1624580081,2016-05-01,2690,"Sunday"
1624580081,2016-05-02,1497,"Monday"
1624580081,2016-05-03,1334,"Tuesday"
1624580081,2016-05-04,1368,"Wednesday"
1624580081,2016-05-05,1370,"Thursday"
1624580081,2016-05-06,1341,"Friday"
1624580081,2016-05-07,1474,"Saturday"
1624580081,2016-05-08,1427,"Sunday"
