"Id","ActivityDate","StepTotal","DayOfWeek"
1503960366,2016-04-12,13162,"Tuesday"
1503960366,2016-04-13,10735,"Wednesday"
1503960366,2016-04-14,10460,"Thursday"
1503960366,2016-04-15,9762,"Friday"
1503960366,2016-04-16,12669,"Saturday"
1503960366,2016-04-17,9705,"Sunday"
1503960366,2016-04-18,13019,"Monday"
1503960366,2016-04-19,15506,"Tuesday"
1503960366,2016-04-20,10544,"Wednesday"
1503960366,2016-04-21,9819,"Thursday"
1503960366,2016-04-22,12764,"Friday"
1503960366,2016-04-23,14371,"Saturday"
1503960366,2016-04-24,10039,"Sunday"
1503960366,2016-04-25,15355,"Monday"
1503960366,2016-04-26,13755,"Tuesday"
1503960366,2016-04-27,18134,"Wednesday"
1503960366,2016-04-28,13154,"Thursday"
1503960366,2016-04-29,11181,"Friday"
1503960366,2016-04-30,14673,"Saturday"
1503960366,2016-05-01,10602,"Sunday"
1503960366,2016-05-02,14727,"Monday"
1503960366,2016-05-03,15103,"Tuesday"
1503960366,2016-05-04,11100,"Wednesday"
1503960366,2016-05-05,14070,"Thursday"
1503960366,2016-05-06,12159,"Friday"
1503960366,2016-05-07,11992,"Saturday"
1503960366,2016-05-08,10060,"Sunday"
1503960366,2016-05-09,12022,"Monday"
1503960366,2016-05-10,12207,"Tuesday"
1503960366,2016-05-11,12770,"Wednesday"
1503960366,2016-05-12,0,"Thursday"
1624580081,2016-04-12,8163,"Tuesday"
1624580081,2016-04-13,7007,"Wednesday"
1624580081,2016-04-14,9107,"Thursday"
1624580081,2016-04-15,1510,"Friday"
1624580081,2016-04-16,5370,"Saturday"
1624580081,2016-04-17,6175,"Sunday"
1624580081,2016-04-18,10536,"Monday"
1624580081,2016-04-19,2916,"Tuesday"
1624580081,2016-04-20,4974,"Wednesday"
1624580081,2016-04-21,6349,"Thursday"
1624580081,2016-04-22,4026,"Friday"
1624580081,2016-04-23,8538,"Saturday"
1624580081,2016-04-24,6076,"Sunday"
1624580081,2016-04-25,6497,"Monday"
1624580081,2016-04-26,2826,"Tuesday"
1624580081,2016-04-27,8367,"Wednesday"
1624580081,2016-04-28,2759,"Thursday"
1624580081,2016-04-29,2390,"Friday"
1624580081,2016-04-30,6474,"Saturday"
1624580081,2016-05-01,36019,"Sunday"
1624580081,2016-05-02,7155,"Monday"
1624580081,2016-05-03,2100,"Tuesday"
1624580081,2016-05-04,2193,"Wednesday"
1624580081,2016-05-05,2470,"Thursday"
1624580081,2016-05-06,1727,"Friday"
1624580081,2016-05-07,2104,"Saturday"
1624580081,2016-05-08,3427,"Sunday"
1624580081,2016-05-09,1732,"Monday"
1624580081,2016-05-10,2969,"Tuesday"
1624580081,2016-05-11,3134,"Wednesday"
1624580081,2016-05-12,2971,"Thursday"
1644430081,2016-04-12,10694,"Tuesday"
1644430081,2016-04-13,8001,"Wednesday"
1644430081,2016-04-14,11037,"Thursday"
1644430081,2016-04-15,5263,"Friday"
1644430081,2016-04-16,15300,"Saturday"
1644430081,2016-04-17,8757,"Sunday"
1644430081,2016-04-18,7132,"Monday"
1644430081,2016-04-19,11256,"Tuesday"
1644430081,2016-04-20,2436,"Wednesday"
1644430081,2016-04-21,1223,"Thursday"
1644430081,2016-04-22,3673,"Friday"
1644430081,2016-04-23,6637,"Saturday"
1644430081,2016-04-24,3321,"Sunday"
1644430081,2016-04-25,3580,"Monday"
1644430081,2016-04-26,9919,"Tuesday"
1644430081,2016-04-27,3032,"Wednesday"
1644430081,2016-04-28,9405,"Thursday"
1644430081,2016-04-29,3176,"Friday"
1644430081,2016-04-30,18213,"Saturday"
1644430081,2016-05-01,6132,"Sunday"
1644430081,2016-05-02,3758,"Monday"
1644430081,2016-05-03,12850,"Tuesday"
1644430081,2016-05-04,2309,"Wednesday"
1644430081,2016-05-05,4363,"Thursday"
1644430081,2016-05-06,9787,"Friday"
1644430081,2016-05-07,13372,"Saturday"
1644430081,2016-05-08,6724,"Sunday"
1644430081,2016-05-09,6643,"Monday"
1644430081,2016-05-10,9167,"Tuesday"
1644430081,2016-05-11,1329,"Wednesday"
1844505072,2016-04-12,6697,"Tuesday"
1844505072,2016-04-13,4929,"Wednesday"
1844505072,2016-04-14,7937,"Thursday"
1844505072,2016-04-15,3844,"Friday"
1844505072,2016-04-16,3414,"Saturday"
1844505072,2016-04-17,4525,"Sunday"
1844505072,2016-04-18,4597,"Monday"
1844505072,2016-04-19,197,"Tuesday"
1844505072,2016-04-20,8,"Wednesday"
1844505072,2016-04-21,8054,"Thursday"
1844505072,2016-04-22,5372,"Friday"
1844505072,2016-04-23,3570,"Saturday"
1844505072,2016-04-24,0,"Sunday"
1844505072,2016-04-25,0,"Monday"
1844505072,2016-04-26,0,"Tuesday"
1844505072,2016-04-27,4,"Wednesday"
1844505072,2016-04-28,6907,"Thursday"
1844505072,2016-04-29,4920,"Friday"
1844505072,2016-04-30,4014,"Saturday"
1844505072,2016-05-01,2573,"Sunday"
1844505072,2016-05-02,0,"Monday"
1844505072,2016-05-03,4059,"Tuesday"
1844505072,2016-05-04,2080,"Wednesday"
1844505072,2016-05-05,2237,"Thursday"
1844505072,2016-05-06,44,"Friday"
1844505072,2016-05-07,0,"Saturday"
1844505072,2016-05-08,0,"Sunday"
1844505072,2016-05-09,0,"Monday"
1844505072,2016-05-10,0,"Tuesday"
1844505072,2016-05-11,0,"Wednesday"
1844505072,2016-05-12,0,"Thursday"
1927972279,2016-04-12,678,"Tuesday"
1927972279,2016-04-13,356,"Wednesday"
1927972279,2016-04-14,2163,"Thursday"
1927972279,2016-04-15,980,"Friday"
1927972279,2016-04-16,0,"Saturday"
1927972279,2016-04-17,0,"Sunday"
1927972279,2016-04-18,244,"Monday"
1927972279,2016-04-19,0,"Tuesday"
1927972279,2016-04-20,0,"Wednesday"
1927972279,2016-04-21,0,"Thursday"
1927972279,2016-04-22,149,"Friday"
1927972279,2016-04-23,2945,"Saturday"
1927972279,2016-04-24,2090,"Sunday"
1927972279,2016-04-25,152,"Monday"
1927972279,2016-04-26,3761,"Tuesday"
1927972279,2016-04-27,0,"Wednesday"
1927972279,2016-04-28,1675,"Thursday"
1927972279,2016-04-29,0,"Friday"
1927972279,2016-04-30,0,"Saturday"
1927972279,2016-05-01,2704,"Sunday"
1927972279,2016-05-02,3790,"Monday"
1927972279,2016-05-03,1326,"Tuesday"
1927972279,2016-05-04,1786,"Wednesday"
1927972279,2016-05-05,0,"Thursday"
1927972279,2016-05-06,2091,"Friday"
1927972279,2016-05-07,1510,"Saturday"
1927972279,2016-05-08,0,"Sunday"
1927972279,2016-05-09,0,"Monday"
1927972279,2016-05-10,0,"Tuesday"
1927972279,2016-05-11,0,"Wednesday"
1927972279,2016-05-12,0,"Thursday"
2022484408,2016-04-12,11875,"Tuesday"
2022484408,2016-04-13,12024,"Wednesday"
2022484408,2016-04-14,10690,"Thursday"
2022484408,2016-04-15,11034,"Friday"
2022484408,2016-04-16,10100,"Saturday"
2022484408,2016-04-17,15112,"Sunday"
2022484408,2016-04-18,14131,"Monday"
2022484408,2016-04-19,11548,"Tuesday"
2022484408,2016-04-20,15112,"Wednesday"
2022484408,2016-04-21,12453,"Thursday"
2022484408,2016-04-22,12954,"Friday"
2022484408,2016-04-23,6001,"Saturday"
2022484408,2016-04-24,13481,"Sunday"
2022484408,2016-04-25,11369,"Monday"
2022484408,2016-04-26,10119,"Tuesday"
2022484408,2016-04-27,10159,"Wednesday"
2022484408,2016-04-28,10140,"Thursday"
2022484408,2016-04-29,10245,"Friday"
2022484408,2016-04-30,18387,"Saturday"
2022484408,2016-05-01,10538,"Sunday"
2022484408,2016-05-02,10379,"Monday"
2022484408,2016-05-03,12183,"Tuesday"
2022484408,2016-05-04,11768,"Wednesday"
2022484408,2016-05-05,11895,"Thursday"
2022484408,2016-05-06,10227,"Friday"
2022484408,2016-05-07,6708,"Saturday"
2022484408,2016-05-08,3292,"Sunday"
2022484408,2016-05-09,13379,"Monday"
2022484408,2016-05-10,12798,"Tuesday"
2022484408,2016-05-11,13272,"Wednesday"
2022484408,2016-05-12,9117,"Thursday"
2026352035,2016-04-12,4414,"Tuesday"
2026352035,2016-04-13,4993,"Wednesday"
2026352035,2016-04-14,3335,"Thursday"
2026352035,2016-04-15,3821,"Friday"
2026352035,2016-04-16,2547,"Saturday"
2026352035,2016-04-17,838,"Sunday"
2026352035,2016-04-18,3325,"Monday"
2026352035,2016-04-19,2424,"Tuesday"
2026352035,2016-04-20,7222,"Wednesday"
2026352035,2016-04-21,2467,"Thursday"
2026352035,2016-04-22,2915,"Friday"
2026352035,2016-04-23,12357,"Saturday"
2026352035,2016-04-24,3490,"Sunday"
2026352035,2016-04-25,6017,"Monday"
2026352035,2016-04-26,5933,"Tuesday"
2026352035,2016-04-27,6088,"Wednesday"
2026352035,2016-04-28,6375,"Thursday"
2026352035,2016-04-29,7604,"Friday"
2026352035,2016-04-30,4729,"Saturday"
